自助重复,结果类型,项目,数值
101,链接尺度参数,BMI个体内偏差,0.0032189301853785155
101,链接尺度参数,妇间BMI中心化,-0.024853027191679845
101,链接尺度参数,孕周中心化,0.04700907073409985
101,链接尺度参数,孕周二次项,0.004440866134039686
101,链接尺度参数,年龄中心化,-0.01587912175195854
101,链接尺度参数,截距,-2.728822785702337
101,链接尺度参数,生产次数中心化,0.16034691725292502
102,原尺度边际效应（百分点）,个体内BMI,-0.028450844204112744
102,原尺度边际效应（百分点）,妇间BMI,-0.22526907415420963
102,原尺度边际效应（百分点）,孕周平均,0.3436606833197193
102,链接尺度参数,BMI个体内偏差,-0.004625340514623496
102,链接尺度参数,妇间BMI中心化,-0.036622680434437546
102,链接尺度参数,孕周中心化,0.0474568656163001
102,链接尺度参数,孕周二次项,0.005345670367567964
102,链接尺度参数,年龄中心化,-0.021552382668298127
102,链接尺度参数,截距,-2.7753440410787147
102,链接尺度参数,生产次数中心化,0.21749867591894037
103,原尺度边际效应（百分点）,个体内BMI,-0.10683930258476115
103,原尺度边际效应（百分点）,妇间BMI,-0.17590951850301662
103,原尺度边际效应（百分点）,孕周平均,0.31716081616741193
103,链接尺度参数,BMI个体内偏差,-0.01672190905601957
103,链接尺度参数,妇间BMI中心化,-0.027532405204179957
103,链接尺度参数,孕周中心化,0.04345937702927595
103,链接尺度参数,孕周二次项,0.004441061285633008
103,链接尺度参数,年龄中心化,-0.024083031639277847
103,链接尺度参数,截距,-2.7087951161495556
103,链接尺度参数,生产次数中心化,0.18143528899808534
104,原尺度边际效应（百分点）,个体内BMI,-0.09182282858386209
104,原尺度边际效应（百分点）,妇间BMI,-0.12467890826511668
104,原尺度边际效应（百分点）,孕周平均,0.32586090008935953
104,链接尺度参数,BMI个体内偏差,-0.014292398875419747
104,链接尺度参数,妇间BMI中心化,-0.019406510513335414
104,链接尺度参数,孕周中心化,0.04322433608009568
104,链接尺度参数,孕周二次项,0.005323391417497373
104,链接尺度参数,年龄中心化,-0.013256071517101767
104,链接尺度参数,截距,-2.714499524156507
104,链接尺度参数,生产次数中心化,0.16383267944330085
105,原尺度边际效应（百分点）,个体内BMI,0.0935235071695757
105,原尺度边际效应（百分点）,妇间BMI,-0.1984519553198887
105,原尺度边际效应（百分点）,孕周平均,0.2565925052199284
105,链接尺度参数,BMI个体内偏差,0.014843773142284036
105,链接尺度参数,妇间BMI中心化,-0.031497704625959654
105,链接尺度参数,孕周中心化,0.03649571261047766
105,链接尺度参数,孕周二次项,0.0033795234142714307
105,链接尺度参数,年龄中心化,-0.023551577526857888
105,链接尺度参数,截距,-2.7045668014005426
105,链接尺度参数,生产次数中心化,0.19755716310358232
106,原尺度边际效应（百分点）,个体内BMI,-0.23698606205632833
106,原尺度边际效应（百分点）,妇间BMI,-0.2516713614824812
106,原尺度边际效应（百分点）,孕周平均,0.33476237093026817
106,链接尺度参数,BMI个体内偏差,-0.03488493823493013
106,链接尺度参数,妇间BMI中心化,-0.03704665086476839
106,链接尺度参数,孕周中心化,0.0430820902715332
106,链接尺度参数,孕周二次项,0.004721870590735972
106,链接尺度参数,年龄中心化,-0.006684649344326773
106,链接尺度参数,截距,-2.6385322831376774
106,链接尺度参数,生产次数中心化,0.07623196720854587
107,原尺度边际效应（百分点）,个体内BMI,-0.2457309625619008
107,原尺度边际效应（百分点）,妇间BMI,-0.10522626547448696
107,原尺度边际效应（百分点）,孕周平均,0.295540865139214
107,链接尺度参数,BMI个体内偏差,-0.039752788301702945
107,链接尺度参数,妇间BMI中心化,-0.017022834288260874
107,链接尺度参数,孕周中心化,0.041391729726817865
107,链接尺度参数,孕周二次项,0.005042351825771357
107,链接尺度参数,年龄中心化,-0.022609044207329024
107,链接尺度参数,截距,-2.755790907043382
107,链接尺度参数,生产次数中心化,0.2366522617410474
108,原尺度边际效应（百分点）,个体内BMI,-0.4901118816858403
108,原尺度边际效应（百分点）,妇间BMI,-0.1878485984081592
108,原尺度边际效应（百分点）,孕周平均,0.3719728142600223
108,链接尺度参数,BMI个体内偏差,-0.07598132993935357
108,链接尺度参数,妇间BMI中心化,-0.029121894138131498
108,链接尺度参数,孕周中心化,0.05055799440771751
108,链接尺度参数,孕周二次项,0.0049597317572481385
108,链接尺度参数,年龄中心化,-0.01899206609975232
108,链接尺度参数,截距,-2.7082464870136724
108,链接尺度参数,生产次数中心化,0.20391598777039055
109,原尺度边际效应（百分点）,个体内BMI,-0.3419214782386072
109,原尺度边际效应（百分点）,妇间BMI,-0.07993937785053504
109,原尺度边际效应（百分点）,孕周平均,0.32548961959841477
109,链接尺度参数,BMI个体内偏差,-0.054922983116052905
109,链接尺度参数,妇间BMI中心化,-0.01284069407575744
109,链接尺度参数,孕周中心化,0.04390342238856891
109,链接尺度参数,孕周二次项,0.006263149095107413
109,链接尺度参数,年龄中心化,-0.017413857273661803
109,链接尺度参数,截距,-2.766804200946294
109,链接尺度参数,生产次数中心化,0.12314319480039744
110,原尺度边际效应（百分点）,个体内BMI,-0.03695685031731529
110,原尺度边际效应（百分点）,妇间BMI,-0.19153495855545047
110,原尺度边际效应（百分点）,孕周平均,0.2797396508202094
110,链接尺度参数,BMI个体内偏差,-0.005461822587109138
110,链接尺度参数,妇间BMI中心化,-0.02830679437985091
110,链接尺度参数,孕周中心化,0.03651061492199865
110,链接尺度参数,孕周二次项,0.004075393762916168
110,链接尺度参数,年龄中心化,-0.01990638611406025
110,链接尺度参数,截距,-2.6312228620740203
110,链接尺度参数,生产次数中心化,0.203491234945334
111,原尺度边际效应（百分点）,个体内BMI,-0.08882446790495042
111,原尺度边际效应（百分点）,妇间BMI,-0.20788941343082173
111,原尺度边际效应（百分点）,孕周平均,0.2962814860500649
111,链接尺度参数,BMI个体内偏差,-0.014452988420237033
111,链接尺度参数,妇间BMI中心化,-0.03382652726071753
111,链接尺度参数,孕周中心化,0.03998652828502409
111,链接尺度参数,孕周二次项,0.006182922554848193
111,链接尺度参数,年龄中心化,-0.016420879410352886
111,链接尺度参数,截距,-2.7838951287877243
111,链接尺度参数,生产次数中心化,0.1657186636782719
112,原尺度边际效应（百分点）,个体内BMI,-0.21673067783840766
112,原尺度边际效应（百分点）,妇间BMI,-0.15709132597396916
112,原尺度边际效应（百分点）,孕周平均,0.25243057579953143
112,链接尺度参数,BMI个体内偏差,-0.03547395369093572
112,链接尺度参数,妇间BMI中心化,-0.025712328676437697
112,链接尺度参数,孕周中心化,0.035228497871027456
112,链接尺度参数,孕周二次项,0.0055972696394562494
112,链接尺度参数,年龄中心化,0.005364011965684823
112,链接尺度参数,截距,-2.774298519550502
112,链接尺度参数,生产次数中心化,0.21317423115394918
113,原尺度边际效应（百分点）,个体内BMI,-0.3560756806264922
113,原尺度边际效应（百分点）,妇间BMI,-0.19430279895230562
113,原尺度边际效应（百分点）,孕周平均,0.34391180383115993
113,链接尺度参数,BMI个体内偏差,-0.05624640088274249
113,链接尺度参数,妇间BMI中心化,-0.03069244466030852
113,链接尺度参数,孕周中心化,0.0467201339141588
113,链接尺度参数,孕周二次项,0.005458707002678228
113,链接尺度参数,年龄中心化,-0.001758890180559855
113,链接尺度参数,截距,-2.7338564145549524
113,链接尺度参数,生产次数中心化,0.06659563552339168
114,原尺度边际效应（百分点）,个体内BMI,-0.05363928625099854
114,原尺度边际效应（百分点）,妇间BMI,-0.13200997407533405
114,原尺度边际效应（百分点）,孕周平均,0.31788831010964136
114,链接尺度参数,BMI个体内偏差,-0.008413330035491594
114,链接尺度参数,妇间BMI中心化,-0.020705784090327996
114,链接尺度参数,孕周中心化,0.042437378056256525
114,链接尺度参数,孕周二次项,0.005280158339383906
114,链接尺度参数,年龄中心化,-0.02910128400266211
114,链接尺度参数,截距,-2.72745146353737
114,链接尺度参数,生产次数中心化,0.19816328152179497
115,原尺度边际效应（百分点）,个体内BMI,-0.11791956224923021
115,原尺度边际效应（百分点）,妇间BMI,-0.19385328376496494
115,原尺度边际效应（百分点）,孕周平均,0.36301989821374053
115,链接尺度参数,BMI个体内偏差,-0.01869543438858361
115,链接尺度参数,妇间BMI中心化,-0.030734267313335794
115,链接尺度参数,孕周中心化,0.04788131250766144
115,链接尺度参数,孕周二次项,0.006192545292498887
115,链接尺度参数,年龄中心化,-0.02783032656402577
115,链接尺度参数,截距,-2.761107319127901
115,链接尺度参数,生产次数中心化,0.19837537087786544
116,原尺度边际效应（百分点）,个体内BMI,-0.09824847373733094
116,原尺度边际效应（百分点）,妇间BMI,-0.09546337473122846
116,原尺度边际效应（百分点）,孕周平均,0.3275587004725761
116,链接尺度参数,BMI个体内偏差,-0.01596391196194914
116,链接尺度参数,妇间BMI中心化,-0.015511374903128265
116,链接尺度参数,孕周中心化,0.046197929282474424
116,链接尺度参数,孕周二次项,0.004677776701485214
116,链接尺度参数,年龄中心化,-0.024300698662667767
116,链接尺度参数,截距,-2.756243079063973
116,链接尺度参数,生产次数中心化,0.15138810505350833
117,原尺度边际效应（百分点）,个体内BMI,-0.18822218516451794
117,原尺度边际效应（百分点）,妇间BMI,-0.11686473403301641
117,原尺度边际效应（百分点）,孕周平均,0.3111800316275837
117,链接尺度参数,BMI个体内偏差,-0.0305386013842593
117,链接尺度参数,妇间BMI中心化,-0.018961024840893972
117,链接尺度参数,孕周中心化,0.04361167965363405
117,链接尺度参数,孕周二次项,0.004995459555419311
117,链接尺度参数,年龄中心化,-0.017904449573365816
117,链接尺度参数,截距,-2.7570127370611037
117,链接尺度参数,生产次数中心化,0.16195923304258114
118,原尺度边际效应（百分点）,个体内BMI,-0.09623239310574441
118,原尺度边际效应（百分点）,妇间BMI,-0.15489040269777934
118,原尺度边际效应（百分点）,孕周平均,0.34657507399634424
118,链接尺度参数,BMI个体内偏差,-0.014308406317920528
118,链接尺度参数,妇间BMI中心化,-0.023030029130740454
118,链接尺度参数,孕周中心化,0.045672884289416675
118,链接尺度参数,孕周二次项,0.0040497313865882545
118,链接尺度参数,年龄中心化,-0.015932164201216657
118,链接尺度参数,截距,-2.6394508443373534
118,链接尺度参数,生产次数中心化,0.153198631012711
119,原尺度边际效应（百分点）,个体内BMI,-0.03776931385716005
119,原尺度边际效应（百分点）,妇间BMI,-0.15830053240138697
119,原尺度边际效应（百分点）,孕周平均,0.30659736391533826
119,链接尺度参数,BMI个体内偏差,-0.006099883027835622
119,链接尺度参数,妇间BMI中心化,-0.02556611789518937
119,链接尺度参数,孕周中心化,0.04187042736595132
119,链接尺度参数,孕周二次项,0.005439045446627149
119,链接尺度参数,年龄中心化,-0.013538339303385495
119,链接尺度参数,截距,-2.759780147430547
119,链接尺度参数,生产次数中心化,0.11772322056453981
120,原尺度边际效应（百分点）,个体内BMI,-0.10320445411883368
120,原尺度边际效应（百分点）,妇间BMI,-0.174232456249123
120,原尺度边际效应（百分点）,孕周平均,0.35342083526640855
120,链接尺度参数,BMI个体内偏差,-0.015622964353284698
120,链接尺度参数,妇间BMI中心化,-0.026375096660373153
120,链接尺度参数,孕周中心化,0.04696454608384629
120,链接尺度参数,孕周二次项,0.004358836877756465
120,链接尺度参数,年龄中心化,-0.02463511473937869
120,链接尺度参数,截距,-2.6695138798232976
120,链接尺度参数,生产次数中心化,0.12104472897518409
121,原尺度边际效应（百分点）,个体内BMI,-0.00033048397586067185
121,原尺度边际效应（百分点）,妇间BMI,-0.2164842085852239
121,原尺度边际效应（百分点）,孕周平均,0.3865506614769695
121,链接尺度参数,BMI个体内偏差,-5.1747672102717574e-05
121,链接尺度参数,妇间BMI中心化,-0.03389741911725048
121,链接尺度参数,孕周中心化,0.05248046789737866
121,链接尺度参数,孕周二次项,0.004697942363550125
121,链接尺度参数,年龄中心化,-0.011153752337886706
121,链接尺度参数,截距,-2.720814496127839
121,链接尺度参数,生产次数中心化,0.2285930460805847
122,原尺度边际效应（百分点）,个体内BMI,-0.1084905265426731
122,原尺度边际效应（百分点）,妇间BMI,-0.21744553005176226
122,原尺度边际效应（百分点）,孕周平均,0.3429276569983961
122,链接尺度参数,BMI个体内偏差,-0.017448299279742514
122,链接尺度参数,妇间BMI中心化,-0.03497129939629392
122,链接尺度参数,孕周中心化,0.04768212293010767
122,链接尺度参数,孕周二次项,0.004892892096773683
122,链接尺度参数,年龄中心化,-0.005686226540170365
122,链接尺度参数,截距,-2.7492690938002418
122,链接尺度参数,生产次数中心化,0.16599460064786722
123,原尺度边际效应（百分点）,个体内BMI,-0.40960651400630144
123,原尺度边际效应（百分点）,妇间BMI,-0.17979405228952466
123,原尺度边际效应（百分点）,孕周平均,0.30278079092931903
123,链接尺度参数,BMI个体内偏差,-0.06417320447265866
123,链接尺度参数,妇间BMI中心化,-0.02816840085791714
123,链接尺度参数,孕周中心化,0.04007557883512269
123,链接尺度参数,孕周二次项,0.006260736385049447
123,链接尺度参数,年龄中心化,-0.04231962494443738
123,链接尺度参数,截距,-2.748053681855828
123,链接尺度参数,生产次数中心化,0.23910924924042642
124,原尺度边际效应（百分点）,个体内BMI,-0.2850050478848129
124,原尺度边际效应（百分点）,妇间BMI,-0.15162745960462148
124,原尺度边际效应（百分点）,孕周平均,0.3249907109107975
124,链接尺度参数,BMI个体内偏差,-0.04504991226253078
124,链接尺度参数,妇间BMI中心化,-0.023967307956381714
124,链接尺度参数,孕周中心化,0.04405489232660052
124,链接尺度参数,孕周二次项,0.005476268815495925
124,链接尺度参数,年龄中心化,-0.0036794275003663567
124,链接尺度参数,截距,-2.7344819069601924
124,链接尺度参数,生产次数中心化,0.19008361317436473
125,原尺度边际效应（百分点）,个体内BMI,-0.04252872250499461
125,原尺度边际效应（百分点）,妇间BMI,-0.2007918834347363
125,原尺度边际效应（百分点）,孕周平均,0.3512246353738295
125,链接尺度参数,BMI个体内偏差,-0.006438507735550939
125,链接尺度参数,妇间BMI中心化,-0.030398281880641122
125,链接尺度参数,孕周中心化,0.04596161789928871
125,链接尺度参数,孕周二次项,0.004811254370970784
125,链接尺度参数,年龄中心化,-0.013403618860520048
125,链接尺度参数,截距,-2.6759590694149167
125,链接尺度参数,生产次数中心化,0.1264302261918099
126,原尺度边际效应（百分点）,个体内BMI,-0.21757464385156944
126,原尺度边际效应（百分点）,妇间BMI,-0.15458485671430072
126,原尺度边际效应（百分点）,孕周平均,0.3503016469056751
126,链接尺度参数,BMI个体内偏差,-0.03437888810125778
126,链接尺度参数,妇间BMI中心化,-0.02442589539411339
126,链接尺度参数,孕周中心化,0.04738794095071066
126,链接尺度参数,孕周二次项,0.005365403596818848
126,链接尺度参数,年龄中心化,-0.019648005443454283
126,链接尺度参数,截距,-2.7361255393619217
126,链接尺度参数,生产次数中心化,0.14683772644564588
127,原尺度边际效应（百分点）,个体内BMI,-0.06060200051357478
127,原尺度边际效应（百分点）,妇间BMI,-0.16120025486842587
127,原尺度边际效应（百分点）,孕周平均,0.37692612804689896
127,链接尺度参数,BMI个体内偏差,-0.00971645645714087
127,链接尺度参数,妇间BMI中心化,-0.02584560318199763
127,链接尺度参数,孕周中心化,0.05158449517571474
127,链接尺度参数,孕周二次项,0.005254784764684839
127,链接尺度参数,年龄中心化,-0.005425086191839581
127,链接尺度参数,截距,-2.7532368942608954
127,链接尺度参数,生产次数中心化,0.16098988216270216
128,原尺度边际效应（百分点）,个体内BMI,0.030783500079421544
128,原尺度边际效应（百分点）,妇间BMI,-0.28725467603315485
128,原尺度边际效应（百分点）,孕周平均,0.3224675128000394
128,链接尺度参数,BMI个体内偏差,0.004905911794002141
128,链接尺度参数,妇间BMI中心化,-0.04577926809483842
128,链接尺度参数,孕周中心化,0.04391723135947574
128,链接尺度参数,孕周二次项,0.005043651284431579
128,链接尺度参数,年龄中心化,-0.014827211356123927
128,链接尺度参数,截距,-2.7446060094154308
128,链接尺度参数,生产次数中心化,0.1370988181739848
129,原尺度边际效应（百分点）,个体内BMI,-0.2126944649508428
129,原尺度边际效应（百分点）,妇间BMI,-0.15547512545365408
129,原尺度边际效应（百分点）,孕周平均,0.38138768971820836
129,链接尺度参数,BMI个体内偏差,-0.033376634519739115
129,链接尺度参数,妇间BMI中心化,-0.02439760922023297
129,链接尺度参数,孕周中心化,0.05245019735624441
129,链接尺度参数,孕周二次项,0.0045746700096716535
129,链接尺度参数,年龄中心化,-0.012812224703876357
129,链接尺度参数,截距,-2.716079666276328
129,链接尺度参数,生产次数中心化,0.19214856060747096
130,原尺度边际效应（百分点）,个体内BMI,-0.19808910871753393
130,原尺度边际效应（百分点）,妇间BMI,-0.18196495839347082
130,原尺度边际效应（百分点）,孕周平均,0.3353189480933658
130,链接尺度参数,BMI个体内偏差,-0.030060669067144677
130,链接尺度参数,妇间BMI中心化,-0.02761377660537022
130,链接尺度参数,孕周中心化,0.04474725062790535
130,链接尺度参数,孕周二次项,0.004455596556297982
130,链接尺度参数,年龄中心化,-0.025993937474760028
130,链接尺度参数,截距,-2.674746969546454
130,链接尺度参数,生产次数中心化,0.23320969136752429
131,原尺度边际效应（百分点）,个体内BMI,-0.2316001859014559
131,原尺度边际效应（百分点）,妇间BMI,-0.19508562814241734
131,原尺度边际效应（百分点）,孕周平均,0.32827698924306986
131,链接尺度参数,BMI个体内偏差,-0.035848860229913904
131,链接尺度参数,妇间BMI中心化,-0.030196855796645168
131,链接尺度参数,孕周中心化,0.04417233111943015
131,链接尺度参数,孕周二次项,0.0048697832875665495
131,链接尺度参数,年龄中心化,-0.021947585677489785
131,链接尺度参数,截距,-2.702544545861354
131,链接尺度参数,生产次数中心化,0.13651937949377696
132,原尺度边际效应（百分点）,个体内BMI,-0.018421293205974878
132,原尺度边际效应（百分点）,妇间BMI,-0.18698055802769403
132,原尺度边际效应（百分点）,孕周平均,0.3103230265807419
132,链接尺度参数,BMI个体内偏差,-0.0027694512113189728
132,链接尺度参数,妇间BMI中心化,-0.02811059609837475
132,链接尺度参数,孕周中心化,0.04272513586766976
132,链接尺度参数,孕周二次项,0.0028691571499133736
132,链接尺度参数,年龄中心化,-0.022749256480047962
132,链接尺度参数,截距,-2.632767023788933
132,链接尺度参数,生产次数中心化,0.17880590485994471
133,原尺度边际效应（百分点）,个体内BMI,0.0010562598983902675
133,原尺度边际效应（百分点）,妇间BMI,-0.312425625619441
133,原尺度边际效应（百分点）,孕周平均,0.3258487121912805
133,链接尺度参数,BMI个体内偏差,0.00016275571926777378
133,链接尺度参数,妇间BMI中心化,-0.04814066830793249
133,链接尺度参数,孕周中心化,0.043078381626506956
133,链接尺度参数,孕周二次项,0.0050071794868627225
133,链接尺度参数,年龄中心化,-0.020114543275150814
133,链接尺度参数,截距,-2.7069213233951843
133,链接尺度参数,生产次数中心化,0.2097759325249365
134,原尺度边际效应（百分点）,个体内BMI,-0.2833509641724563
134,原尺度边际效应（百分点）,妇间BMI,-0.20075343455190478
134,原尺度边际效应（百分点）,孕周平均,0.39124805404021507
134,链接尺度参数,BMI个体内偏差,-0.04458600484613844
134,链接尺度参数,妇间BMI中心化,-0.0315890705787838
134,链接尺度参数,孕周中心化,0.0515096176352208
134,链接尺度参数,孕周二次项,0.006355309760800174
134,链接尺度参数,年龄中心化,-0.00838317067131562
134,链接尺度参数,截距,-2.753625022011702
134,链接尺度参数,生产次数中心化,0.23776889872362994
135,原尺度边际效应（百分点）,个体内BMI,-0.061801396932037206
135,原尺度边际效应（百分点）,妇间BMI,-0.1311981470319328
135,原尺度边际效应（百分点）,孕周平均,0.3584296946718424
135,链接尺度参数,BMI个体内偏差,-0.00960227969927982
135,链接尺度参数,妇间BMI中心化,-0.020384673589389193
135,链接尺度参数,孕周中心化,0.047416072820534595
135,链接尺度参数,孕周二次项,0.005337078324795439
135,链接尺度参数,年龄中心化,-0.013235088109660233
135,链接尺度参数,截距,-2.7160854445009437
135,链接尺度参数,生产次数中心化,0.18710390114983627
136,原尺度边际效应（百分点）,个体内BMI,-0.04563218371500828
136,原尺度边际效应（百分点）,妇间BMI,-0.1777867375600472
136,原尺度边际效应（百分点）,孕周平均,0.3416034104028008
136,链接尺度参数,BMI个体内偏差,-0.007141349669065814
136,链接尺度参数,妇间BMI中心化,-0.027823285148222136
136,链接尺度参数,孕周中心化,0.046323901856155765
136,链接尺度参数,孕周二次项,0.004696684305296123
136,链接尺度参数,年龄中心化,-0.015705305583778483
136,链接尺度参数,截距,-2.7127272611279216
136,链接尺度参数,生产次数中心化,0.10486711526247378
137,原尺度边际效应（百分点）,个体内BMI,-0.10221785794659606
137,原尺度边际效应（百分点）,妇间BMI,-0.15156485109799633
137,原尺度边际效应（百分点）,孕周平均,0.3563254041029644
137,链接尺度参数,BMI个体内偏差,-0.01572052412721268
137,链接尺度参数,妇间BMI中心化,-0.02330981050070805
137,链接尺度参数,孕周中心化,0.04873137066043609
137,链接尺度参数,孕周二次项,0.003949208417745814
137,链接尺度参数,年龄中心化,-0.0018071846840795138
137,链接尺度参数,截距,-2.676981291282224
137,链接尺度参数,生产次数中心化,0.14293273016921376
138,原尺度边际效应（百分点）,个体内BMI,-0.4725002983445766
138,原尺度边际效应（百分点）,妇间BMI,-0.12708612177770162
138,原尺度边际效应（百分点）,孕周平均,0.4012390921945559
138,链接尺度参数,BMI个体内偏差,-0.0767958715987101
138,链接尺度参数,妇间BMI中心化,-0.0206554144499207
138,链接尺度参数,孕周中心化,0.05817389469035239
138,链接尺度参数,孕周二次项,0.004222798659802618
138,链接尺度参数,年龄中心化,-0.004949002274333465
138,链接尺度参数,截距,-2.749200568796464
138,链接尺度参数,生产次数中心化,0.12904289545429884
139,原尺度边际效应（百分点）,个体内BMI,0.07669410909111038
139,原尺度边际效应（百分点）,妇间BMI,-0.14906765473076555
139,原尺度边际效应（百分点）,孕周平均,0.28388382456678424
139,链接尺度参数,BMI个体内偏差,0.01230525797096359
139,链接尺度参数,妇间BMI中心化,-0.023917299103239954
139,链接尺度参数,孕周中心化,0.03874807279432641
139,链接尺度参数,孕周二次项,0.00499305845148322
139,链接尺度参数,年龄中心化,-0.030389347530519865
139,链接尺度参数,截距,-2.7476770042305203
139,链接尺度参数,生产次数中心化,0.1230946334361257
140,原尺度边际效应（百分点）,个体内BMI,-0.03004716143408567
140,原尺度边际效应（百分点）,妇间BMI,-0.24412745324202834
140,原尺度边际效应（百分点）,孕周平均,0.3474932949235672
140,链接尺度参数,BMI个体内偏差,-0.004630377138151036
140,链接尺度参数,妇间BMI中心化,-0.03762093070810308
140,链接尺度参数,孕周中心化,0.045817552719661106
140,链接尺度参数,孕周二次项,0.005107933917675125
140,链接尺度参数,年龄中心化,-0.032914941242152385
140,链接尺度参数,截距,-2.7097958339787547
140,链接尺度参数,生产次数中心化,0.1497176697287335
141,原尺度边际效应（百分点）,个体内BMI,-0.010170060755756872
141,原尺度边际效应（百分点）,妇间BMI,-0.08604741297987989
141,原尺度边际效应（百分点）,孕周平均,0.35517183575385064
141,链接尺度参数,BMI个体内偏差,-0.0015226406491606129
141,链接尺度参数,妇间BMI中心化,-0.01288284228627747
141,链接尺度参数,孕周中心化,0.046943160003366034
141,链接尺度参数,孕周二次项,0.004071522629811628
141,链接尺度参数,年龄中心化,-0.01955045274050088
141,链接尺度参数,截距,-2.649322569017041
141,链接尺度参数,生产次数中心化,0.167576189201704
142,原尺度边际效应（百分点）,个体内BMI,-0.3835039744950183
142,原尺度边际效应（百分点）,妇间BMI,-0.10334477328510953
142,原尺度边际效应（百分点）,孕周平均,0.39307616014969987
142,链接尺度参数,BMI个体内偏差,-0.05871792605617364
142,链接尺度参数,妇间BMI中心化,-0.015823019211306546
142,链接尺度参数,孕周中心化,0.05057517275401117
142,链接尺度参数,孕周二次项,0.006313335390103858
142,链接尺度参数,年龄中心化,-0.015646581059988892
142,链接尺度参数,截距,-2.7153271975934836
142,链接尺度参数,生产次数中心化,0.12686719484955047
143,原尺度边际效应（百分点）,个体内BMI,-0.10029682083859037
143,原尺度边际效应（百分点）,妇间BMI,-0.22076110452247905
143,原尺度边际效应（百分点）,孕周平均,0.28867747804772126
143,链接尺度参数,BMI个体内偏差,-0.016458234028907757
143,链接尺度参数,妇间BMI中心化,-0.03622585334542486
143,链接尺度参数,孕周中心化,0.03983018630920778
143,链接尺度参数,孕周二次项,0.00578101412344521
143,链接尺度参数,年龄中心化,-0.015534940908963426
143,链接尺度参数,截距,-2.788086904209299
143,链接尺度参数,生产次数中心化,0.2258571501916052
144,原尺度边际效应（百分点）,个体内BMI,-0.10661304538604353
144,原尺度边际效应（百分点）,妇间BMI,-0.16628113915345671
144,原尺度边际效应（百分点）,孕周平均,0.3056558407927515
144,链接尺度参数,BMI个体内偏差,-0.017225352007652035
144,链接尺度参数,妇间BMI中心化,-0.0268658600247303
144,链接尺度参数,孕周中心化,0.04267899593303637
144,链接尺度参数,孕周二次项,0.0048607778351464
144,链接尺度参数,年龄中心化,-0.013960552051679878
144,链接尺度参数,截距,-2.7503724580817765
144,链接尺度参数,生产次数中心化,0.16690287687072056
145,原尺度边际效应（百分点）,个体内BMI,-0.07020734241189619
145,原尺度边际效应（百分点）,妇间BMI,-0.1596057975564609
145,原尺度边际效应（百分点）,孕周平均,0.3724937450264663
145,链接尺度参数,BMI个体内偏差,-0.0107206970219911
145,链接尺度参数,妇间BMI中心化,-0.024371886753914954
145,链接尺度参数,孕周中心化,0.04748205665518537
145,链接尺度参数,孕周二次项,0.006060791788674568
145,链接尺度参数,年龄中心化,-0.02361133722617335
145,链接尺度参数,截距,-2.7151469990464165
145,链接尺度参数,生产次数中心化,0.28017964083294516
146,原尺度边际效应（百分点）,个体内BMI,-0.1488017365051244
146,原尺度边际效应（百分点）,妇间BMI,-0.0999461544434124
146,原尺度边际效应（百分点）,孕周平均,0.36289226459776047
146,链接尺度参数,BMI个体内偏差,-0.023808019477695178
146,链接尺度参数,妇间BMI中心化,-0.015991211175331595
146,链接尺度参数,孕周中心化,0.049384936666859294
146,链接尺度参数,孕周二次项,0.0054532753084290606
146,链接尺度参数,年龄中心化,-0.03277803754584737
146,链接尺度参数,截距,-2.7573774298519336
146,链接尺度参数,生产次数中心化,0.1636739258265766
147,原尺度边际效应（百分点）,个体内BMI,-0.1506522732499371
147,原尺度边际效应（百分点）,妇间BMI,-0.25230340188420775
147,原尺度边际效应（百分点）,孕周平均,0.3638185619763196
147,链接尺度参数,BMI个体内偏差,-0.022590674370079437
147,链接尺度参数,妇间BMI中心化,-0.037833508061132455
147,链接尺度参数,孕周中心化,0.04756927564833318
147,链接尺度参数,孕周二次项,0.00472789485532163
147,链接尺度参数,年龄中心化,-0.013801615314537956
147,链接尺度参数,截距,-2.6677942329371893
147,链接尺度参数,生产次数中心化,0.24348053301447647
148,原尺度边际效应（百分点）,个体内BMI,-0.07799215349101313
148,原尺度边际效应（百分点）,妇间BMI,-0.230381609128077
148,原尺度边际效应（百分点）,孕周平均,0.33852145185258786
148,链接尺度参数,BMI个体内偏差,-0.011837732147305963
148,链接尺度参数,妇间BMI中心化,-0.03496756607493551
148,链接尺度参数,孕周中心化,0.0448222837902815
148,链接尺度参数,孕周二次项,0.004588807804201205
148,链接尺度参数,年龄中心化,-0.011475999964502015
148,链接尺度参数,截距,-2.6766824188090097
148,链接尺度参数,生产次数中心化,0.22216853640163492
149,原尺度边际效应（百分点）,个体内BMI,-0.015253721881429075
149,原尺度边际效应（百分点）,妇间BMI,-0.2532953273872385
149,原尺度边际效应（百分点）,孕周平均,0.30610759181552
149,链接尺度参数,BMI个体内偏差,-0.0023009184194872187
149,链接尺度参数,妇间BMI中心化,-0.03820784782138301
149,链接尺度参数,孕周中心化,0.03957868725847655
149,链接尺度参数,孕周二次项,0.005030780523114083
149,链接尺度参数,年龄中心化,-0.018315659025072702
149,链接尺度参数,截距,-2.6759847321660555
149,链接尺度参数,生产次数中心化,0.1745460163630913
150,原尺度边际效应（百分点）,个体内BMI,-0.047245491167068984
150,原尺度边际效应（百分点）,妇间BMI,-0.11757355365203312
